incident_number,arrest_date,gender,race,age,charge,most_serious,arrest
12BU000933,1/26/2012 13:05,NA,NA,NA,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU000933,1/11/2012 16:10,Male,White,25,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU000933,1/11/2012 16:10,Female,Black,24,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU000968,1/27/2012 7:56,Male,White,21,Leaving Scene Of An Accident,1,TRUE
12BU000993,1/12/2012 14:42,Female,Unknown - U,25,Petit Larceny From A Building/Residence/Structure,1,TRUE
12BU001013,1/12/2012 21:25,Male,White,41,Driving Under The Influence - First Offense,1,TRUE
12BU001085,1/13/2012 13:27,Male,White,25,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU001085,1/26/2012 14:34,Male,White,26,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU001085,1/13/2012 14:35,Female,Black,24,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU001093,1/13/2012 14:36,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU001093,1/13/2012 14:36,Female,White,32,Retail Theft (Misdemeanor),1,TRUE
12BU001093,1/13/2012 14:36,Female,White,32,NA,0,TRUE
12BU001100,1/13/2012 15:11,Male,White,25,NA,0,TRUE
12BU001104,1/13/2012 21:03,Male,White,20,NA,0,TRUE
12BU001184,1/14/2012 17:46,NA,NA,NA,Lewd And Lascivious Conduct,1,TRUE
12BU001207,1/14/2012 21:07,Male,White,34,Disorderly Conduct By Phone Or Electronic Communication,1,TRUE
12BU001234,1/18/2012 0:30,Male,White,22,Murder - 2nd Degree,1,TRUE
12BU001237,1/15/2012 4:05,Male,White,22,Domestic Assault,1,TRUE
12BU001290,1/15/2012 16:21,Male,White,28,Disorderly Conduct - All Other,1,TRUE
12BU001307,1/15/2012 20:19,NA,NA,NA,NA,0,TRUE
12BU001315,1/15/2012 21:35,Female,White,21,Leaving Scene Of An Accident,0,TRUE
12BU001315,1/15/2012 21:35,Female,White,21,Driving Under The Influence - First Offense,1,TRUE
12BU001326,1/16/2012 0:36,Male,Asian - A,17,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU001379,1/16/2012 11:20,Male,White,24,Domestic Assault - 2nd Degree Aggravated,1,TRUE
12BU001389,1/16/2012 13:00,Male,White,31,False Alarms To Public Safety,0,TRUE
12BU001389,1/16/2012 13:00,Male,White,31,False Information To A Police Officer,1,TRUE
12BU001389,1/16/2012 13:00,Male,White,24,False Information To A Police Officer,1,TRUE
12BU001422,1/16/2012 18:33,Male,White,25,NA,0,TRUE
12BU001441,1/16/2012 22:23,Male,White,25,Disorderly Conduct - All Other,1,TRUE
12BU001441,1/16/2012 22:23,Female,White,23,Disorderly Conduct - All Other,1,TRUE
12BU001447,1/17/2012 3:37,NA,NA,NA,Assault And Robbery,1,TRUE
12BU001447,1/17/2012 7:28,Male,White,22,Assault And Robbery,1,TRUE
12BU001447,1/17/2012 7:28,Male,White,22,Burglary,0,TRUE
12BU001447,4/6/2012 17:24,Male,Black,21,Assault And Robbery,1,TRUE
12BU001447,4/6/2012 17:24,Male,Black,21,Burglary,0,TRUE
12BU001480,1/17/2012 14:52,Male,White,17,Petit Larceny From A Building/Residence/Structure,1,TRUE
12BU001483,1/17/2012 13:45,Male,Asian - A,30,Stolen Property Receiving (Possession Of) Stolen Property (Misdemeanor),1,TRUE
12BU001525,1/18/2012 2:57,Male,White,21,Simple Assault,1,TRUE
12BU001525,1/18/2012 2:57,Male,Black,17,Simple Assault,1,TRUE
12BU001569,1/18/2012 20:34,Female,White,42,Retail Theft (Misdemeanor),1,TRUE
12BU001570,3/8/2012 22:30,Male,Black,26,False Pretenses,0,TRUE
12BU001618,1/19/2012 13:26,Male,Black,29,"Drugs - Cocaine, Sale <2.5 Gm",1,TRUE
12BU001627,1/19/2012 16:30,Male,White,18,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
12BU001652,1/19/2012 23:33,Female,White,29,Driving With A Criminally Suspended License,0,TRUE
12BU001665,1/20/2012 1:57,Male,Black,37,Simple Assault,1,TRUE
12BU001665,1/20/2012 1:57,Male,Black,37,Resisting Arrest,0,TRUE
12BU001668,1/20/2012 2:31,Male,White,21,Unlawful Mischief (Misdemeanor),1,TRUE
12BU001745,1/20/2012 21:08,Male,White,30,Driving With A Criminally Suspended License,1,TRUE
12BU001745,1/20/2012 21:08,Male,White,26,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU001745,1/20/2012 21:08,Male,White,26,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",0,TRUE
12BU001779,1/21/2012 1:10,Male,White,46,Domestic Assault,1,TRUE
12BU001790,1/21/2012 1:34,Male,White,25,Disorderly Conduct - All Other,1,TRUE
12BU001790,1/21/2012 1:34,Male,White,26,Disorderly Conduct - All Other,1,TRUE
12BU001797,1/21/2012 2:45,NA,NA,NA,Driving Under The Influence - Criminal Refusal,1,TRUE
12BU001817,1/21/2012 10:40,NA,NA,NA,Violation Of An Abuse Prevention Order,1,TRUE
12BU001826,1/21/2012 12:11,Male,White,25,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
12BU001832,1/21/2012 12:28,Male,White,30,Escape,1,TRUE
12BU001852,1/21/2012 17:41,Male,Black,55,Driving With A Criminally Suspended License,1,TRUE
12BU001889,1/22/2012 2:12,Male,White,27,Disorderly Conduct - All Other,1,TRUE
12BU001889,1/22/2012 2:12,Male,White,29,Disorderly Conduct - All Other,0,TRUE
12BU001889,1/22/2012 2:12,Male,White,29,"Drugs - Cocaine, Possession  Misdemeanor",1,TRUE
12BU001896,1/22/2012 1:40,Male,Black,30,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU001896,1/22/2012 1:40,Male,Black,30,Resisting Arrest,0,TRUE
12BU001896,1/22/2012 1:40,Male,Black,30,Disorderly Conduct - All Other,0,TRUE
12BU001896,1/22/2012 1:40,Male,Black,30,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),0,TRUE
12BU001902,1/22/2012 4:04,Male,White,28,Driving Under The Influence - First Offense,1,TRUE
12BU001910,1/22/2012 9:20,Male,White,51,Credit Card/ATM Fraud,1,TRUE
12BU001927,1/22/2012 15:15,Female,White,29,NA,1,TRUE
12BU001959,1/22/2012 19:00,Male,White,48,Domestic Assault - 2nd Degree Aggravated,1,TRUE
12BU001959,1/22/2012 19:00,Male,White,48,Disorderly Conduct - All Other,0,TRUE
12BU001959,1/22/2012 19:00,Male,White,48,Unlawful Mischief (Misdemeanor),0,TRUE
12BU001979,1/22/2012 23:05,Male,White,41,Domestic Assault,1,TRUE
12BU001979,1/22/2012 23:05,Male,White,41,Simple Assault,0,TRUE
12BU001981,1/23/2012 0:15,Male,White,35,Driving Under The Influence - Second And Subsequent Offense,1,TRUE
12BU001981,1/23/2012 0:15,Male,White,35,Driving With A Criminally Suspended License,0,TRUE
12BU001996,1/23/2012 10:00,Male,White,40,"Drugs - Cocaine, Possession  >2.5 Gm",1,TRUE
12BU001996,1/23/2012 13:00,Female,White,35,False Information To A Police Officer,1,TRUE
12BU001997,1/23/2012 9:13,Male,White,29,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),1,TRUE
12BU002027,1/23/2012 12:39,Male,White,36,Violation Of Conditions Of Release (Other),1,TRUE
12BU002035,1/23/2012 14:56,Male,White,43,Unlawful Trespass (Felony),0,TRUE
12BU002035,1/23/2012 14:56,Male,White,43,Lewd And Lascivious Conduct,1,TRUE
12BU002041,1/23/2012 14:57,Male,White,18,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU002042,1/23/2012 15:47,NA,NA,NA,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
12BU002047,1/23/2012 16:06,Male,Black,42,Obstruction Of Justice,1,TRUE
12BU002047,1/23/2012 16:06,Male,Black,42,Violation Of An Abuse Prevention Order,0,TRUE
12BU002049,1/23/2012 16:26,Female,Asian - A,18,Retail Theft (Misdemeanor),1,TRUE
12BU002049,3/4/2012 18:45,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
12BU002049,3/2/2012 16:41,NA,NA,NA,Retail Theft (Misdemeanor),1,TRUE
12BU002063,1/24/2012 1:05,NA,NA,NA,"Drugs - Marijuana, Possession Or Cultivation 2+ Ounces Or >3 Plants",1,TRUE
12BU002069,1/23/2012 23:54,Male,White,35,Disorderly Conduct - All Other,1,TRUE
12BU002069,1/23/2012 22:29,Male,White,69,Disorderly Conduct - All Other,1,TRUE
12BU002075,1/24/2012 0:20,Male,White,50,NA,0,TRUE
12BU002075,1/24/2012 0:20,Male,White,50,NA,0,TRUE
12BU002077,1/24/2012 5:52,Male,White,21,NA,0,TRUE
12BU002081,1/24/2012 4:50,Male,White,20,Driving Under The Influence - First Offense,1,TRUE
12BU002081,1/24/2012 4:50,Male,White,20,Leaving Scene Of An Accident,0,TRUE
12BU002082,2/12/2012 12:00,NA,NA,NA,Theft Of Services (Misdemeanor),1,TRUE
12BU002083,1/24/2012 3:55,Female,White,27,Driving Under The Influence - First Offense,1,TRUE
12BU002096,1/24/2012 12:45,Female,White,43,Driving With A Criminally Suspended License,0,TRUE
12BU002096,1/24/2012 12:45,Female,White,43,Leaving Scene Of An Accident,1,TRUE
12BU002105,1/24/2012 13:24,NA,NA,NA,Identity Theft,1,TRUE
12BU002111,1/24/2012 15:45,Male,White,41,Probation-Parole Violation,1,TRUE
12BU002112,1/24/2012 16:34,Female,White,36,NA,0,TRUE
12BU002176,1/25/2012 15:29,Female,Black,32,Retail Theft (Misdemeanor),1,TRUE
12BU002176,1/25/2012 16:10,Male,Black,38,Retail Theft (Misdemeanor),0,TRUE
12BU002179,1/25/2012 15:00,Male,White,57,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
12BU002179,1/25/2012 15:00,Male,White,57,False Information To A Police Officer,1,TRUE
12BU002187,1/25/2012 21:05,Male,White,24,Negligent Operation,1,TRUE
12BU002187,1/25/2012 20:00,Male,White,24,Driving With A Criminally Suspended License,1,TRUE
12BU002187,1/25/2012 20:05,Male,White,24,Driving With A Criminally Suspended License,1,TRUE
12BU002197,1/25/2012 21:53,NA,NA,NA,Burglary,0,TRUE
12BU002198,1/25/2012 20:45,Male,White,37,Unlawful Trespass (Misdemeanor),1,TRUE
12BU002235,1/26/2012 12:17,Male,White,41,Grand Larceny,1,TRUE
12BU002245,4/23/2013 9:40,Male,Black,27,"Drugs - Depressant, Stimulant, And Narcotic - Sale",1,TRUE
12BU002272,1/26/2012 22:11,Male,White,43,False Information To A Police Officer,1,TRUE
12BU002272,1/26/2012 22:11,Male,White,43,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor),NA,TRUE
12BU002274,1/26/2012 21:01,Female,White,29,Driving With A Criminally Suspended License,1,TRUE
12BU002288,1/27/2012 0:45,Female,White,47,Simple Assault,1,TRUE
12BU002288,1/27/2012 0:45,NA,NA,NA,Aggravated Assault,1,TRUE
12BU002320,1/27/2012 11:10,Male,Black,46,Disorderly Conduct - All Other,1,TRUE
12BU002361,1/27/2012 19:00,Male,Black,42,Driving With A Criminally Suspended License,1,TRUE
12BU002373,1/27/2012 22:55,Male,White,18,Driving Under The Influence - First Offense,1,TRUE
12BU002390,2/17/2012 21:15,Male,Black,22,Domestic Assault - 1st Degree Aggravated,1,TRUE
12BU002393,1/28/2012 1:15,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU002393,1/28/2012 1:15,NA,NA,NA,False Information To A Police Officer,0,TRUE
12BU002397,1/28/2012 1:31,Male,Black,34,Resisting Arrest,1,TRUE
12BU002397,1/28/2012 1:31,Male,Black,34,Disorderly Conduct - All Other,0,TRUE
12BU002397,1/28/2012 1:31,Male,Black,34,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Felony),0,TRUE
12BU002397,1/28/2012 1:31,Male,Black,34,Unlawful Trespass (Misdemeanor),0,TRUE
12BU002438,3/5/2012 13:35,Male,Black,22,Aggravated Assault,1,TRUE
12BU002445,1/28/2012 15:29,Male,White,40,False Information To A Police Officer,0,TRUE
12BU002445,1/28/2012 15:29,Male,White,40,Unlawful Mischief (Misdemeanor),0,TRUE
12BU002445,1/28/2012 15:29,Male,White,40,Stolen Property Receiving (Possession Of) Stolen Property (Felony),1,TRUE
12BU002449,1/28/2012 16:30,NA,NA,NA,Petit Larceny From Other Location,1,TRUE
12BU002474,1/28/2012 21:51,Male,White,24,Driving With A Criminally Suspended License,1,TRUE
12BU002492,1/29/2012 0:15,Male,White,26,Disorderly Conduct - All Other,1,TRUE
12BU002492,1/29/2012 0:15,Male,White,27,Disorderly Conduct - All Other,1,TRUE
12BU002503,1/29/2012 1:50,Male,Black,28,Domestic Assault - 1st Degree Aggravated,0,TRUE
12BU002504,1/29/2012 2:35,Male,White,41,Driving Under The Influence - Criminal Refusal,1,TRUE
12BU002504,1/29/2012 2:35,Male,White,41,Driving With A Criminally Suspended License,0,TRUE
12BU002520,1/29/2012 15:26,NA,NA,NA,Leaving Scene Of An Accident,1,TRUE
12BU002556,1/29/2012 20:30,Male,White,54,Unlawful Trespass (Misdemeanor),1,TRUE
12BU002559,1/29/2012 22:17,Male,White,45,Driving Under The Influence - First Offense,1,TRUE
12BU002562,1/29/2012 21:45,Male,White,42,Domestic Assault - 2nd Degree Aggravated,1,TRUE
12BU002602,1/30/2012 13:31,NA,NA,NA,Driving With A Criminally Suspended License,1,TRUE
12BU002621,1/30/2012 16:49,Male,White,32,Violation Of Conditions Of Release (Other),1,TRUE
12BU002621,1/30/2012 16:49,Male,White,32,Driving With A Criminally Suspended License,0,TRUE
12BU002621,1/30/2012 16:49,Male,White,32,False Information To A Police Officer,0,TRUE
12BU002649,1/30/2012 20:37,Male,Black,55,Driving With A Criminally Suspended License,1,TRUE
12BU002649,1/30/2012 20:37,Male,Black,55,Violation Of Conditions Of Release (Other),0,TRUE
12BU002660,1/31/2012 2:44,Female,White,21,Driving Under The Influence - First Offense,1,TRUE
12BU002665,1/31/2012 4:07,Male,White,16,Burglary,1,TRUE
12BU002665,2/22/2012 15:00,Male,White,18,Burglary,1,TRUE
12BU002684,1/31/2012 10:05,Male,White,30,Disorderly Conduct - All Other,1,TRUE
12BU002708,1/31/2012 17:00,Female,White,29,Impeding Public Officers,1,TRUE
12BU002726,3/8/2012 8:46,Male,White,40,"Drugs - Cocaine, Sale >2.5 Gm",1,TRUE
12BU002726,3/8/2012 8:46,Male,White,40,"Drugs - Cocaine, Sale <2.5 Gm",0,TRUE
12BU002726,3/8/2012 8:46,Male,White,40,"Drugs - Cocaine, Possession  >2.5 Gm",0,TRUE
12BU002726,3/8/2012 8:46,Male,White,40,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",0,TRUE
12BU002747,2/1/2012 4:00,Male,White,28,Disorderly Conduct - All Other,1,TRUE
12BU002762,2/5/2012 12:40,NA,NA,NA,Violation Of An Abuse Prevention Order,1,TRUE
12BU002795,4/11/2012 10:50,Male,White,47,Assault And Robbery,1,TRUE
12BU002795,4/11/2012 10:50,Male,White,47,Aggravated Assault,0,TRUE
12BU002800,2/1/2012 19:05,Male,White,53,Violation Of An Abuse Prevention Order,0,TRUE
12BU002866,2/2/2012 16:22,Male,White,16,Retail Theft (Misdemeanor),1,TRUE
12BU002866,2/2/2012 16:22,Male,White,16,Violation Of Conditions Of Release (Other),0,TRUE
12BU002911,2/3/2012 8:40,Male,White,26,Unlawful Mischief (Misdemeanor),1,TRUE
12BU002911,2/3/2012 8:40,Male,White,26,Possessing/Making Burglar'S Tools,0,TRUE
12BU002911,2/3/2012 8:40,Male,White,26,Burglary,0,TRUE
12BU002911,2/3/2012 8:40,Male,White,26,Petit Larceny From A Motor Vehicle,0,TRUE
12BU002911,2/3/2012 8:40,Male,White,26,Unlawful Trespass (Felony),NA,TRUE
12BU002932,2/3/2012 12:40,Female,White,21,Domestic Assault - 1st Degree Aggravated,1,TRUE
12BU002940,2/3/2012 14:13,NA,NA,NA,Driving With A Criminally Suspended License,1,TRUE
12BU002943,2/3/2012 14:15,Male,Black,21,Excessive Speed,1,TRUE
12BU002946,2/3/2012 17:14,Male,White,50,Simple Assault,1,TRUE
12BU002946,2/3/2012 17:14,Male,White,50,Disorderly Conduct - All Other,0,TRUE
12BU002946,2/3/2012 17:14,Male,White,50,Resisting Arrest,0,TRUE
12BU002968,2/3/2012 21:58,Female,White,25,Driving With A Criminally Suspended License,1,TRUE
12BU002992,2/4/2012 4:24,Female,White,24,Simple Assault,1,TRUE
12BU003052,10/16/2012 0:00,Male,White,18,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU003052,10/16/2012 0:00,Male,White,17,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU003056,2/4/2012 22:42,Male,White,27,Driving With A Criminally Suspended License,1,TRUE
12BU003073,2/5/2012 2:55,Male,White,23,Disorderly Conduct - All Other,1,TRUE
12BU003073,2/5/2012 2:55,Male,White,23,Resisting Arrest,0,TRUE
12BU003137,2/6/2012 1:54,Male,Black,33,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU003167,2/6/2012 11:16,Female,White,36,Probation-Parole Violation,1,TRUE
12BU003168,2/6/2012 13:36,Male,Black,19,Domestic Assault,1,TRUE
12BU003183,5/9/2012 8:25,Male,White,60,Negligent Operation,1,TRUE
12BU003212,2/6/2012 18:41,Male,White,22,NA,0,TRUE
12BU003214,2/6/2012 18:40,Male,White,53,Driving Under The Influence - First Offense,0,TRUE
12BU003230,2/6/2012 21:46,Male,White,19,Simple Assault,1,TRUE
12BU003230,2/7/2012 7:16,Male,White,20,Simple Assault,0,TRUE
12BU003256,2/7/2012 10:17,NA,NA,NA,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU003256,2/7/2012 10:17,NA,NA,NA,"Drugs - Hallucinogenic, Possession - Misdemeanor",0,TRUE
12BU003277,2/7/2012 15:25,Female,White,33,Driving With A Criminally Suspended License,1,TRUE
12BU003283,2/7/2012 15:43,Male,Black,55,Driving With A Criminally Suspended License,1,TRUE
12BU003290,2/7/2012 18:30,Male,Black,23,Unlawful Trespass (Misdemeanor),0,TRUE
12BU003293,2/8/2012 14:00,Male,White,20,Unlawful Trespass (Felony),1,TRUE
12BU003293,2/9/2012 12:20,Male,White,21,Unlawful Trespass (Felony),0,TRUE
12BU003304,2/8/2012 11:00,Male,White,52,Violation Of An Abuse Prevention Order,1,TRUE
12BU003345,2/8/2012 10:10,Male,White,55,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",1,TRUE
12BU003345,2/8/2012 10:10,Male,White,55,Disorderly Conduct By Phone Or Electronic Communication,0,TRUE
12BU003356,2/8/2012 13:27,Male,White,27,Simple Assault,1,TRUE
12BU003359,2/8/2012 13:58,Male,White,15,Unlawful Mischief (Misdemeanor),1,TRUE
12BU003360,2/8/2012 14:06,Male,White,18,Unlawful Mischief (Misdemeanor),0,TRUE
12BU003361,2/8/2012 14:20,Male,White,45,Hindering Arrest,1,TRUE
12BU003361,2/8/2012 14:25,NA,NA,NA,Disorderly Conduct - All Other,1,TRUE
12BU003367,2/21/2012 13:48,Male,White,33,Burglary,1,TRUE
12BU003371,2/8/2012 17:42,Male,White,30,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor",1,TRUE
12BU003393,2/8/2012 21:25,Female,White,28,"Removing, Aid Or Abet In Removal, Of Merchandise Without Paying",1,TRUE
12BU003402,2/9/2012 2:49,Male,White,42,Domestic Assault - 2nd Degree Aggravated,1,TRUE
12BU003402,2/9/2012 2:49,Male,White,42,Resisting Arrest,0,TRUE
12BU003402,2/9/2012 2:49,Male,White,42,Assault With Bodily Fluids (Misdemeanor),0,TRUE
12BU003402,2/9/2012 2:49,Male,White,42,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
12BU003406,2/9/2012 22:30,Male,White,32,Violation Of Conditions Of Release (Other),1,TRUE
12BU003439,2/9/2012 13:00,Male,White,43,Violation Of An Abuse Prevention Order,1,TRUE
12BU003445,2/9/2012 13:39,Male,White,20,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor",1,TRUE
12BU003502,2/10/2012 6:14,Female,White,21,Disorderly Conduct - All Other,1,TRUE
12BU003502,2/10/2012 6:15,Female,White,13,Disorderly Conduct - All Other,1,TRUE
12BU003512,2/10/2012 11:27,Male,Black,25,Driving With A Criminally Suspended License,1,TRUE
12BU003552,2/10/2012 20:55,Male,White,20,NA,0,TRUE
12BU003563,2/11/2012 0:33,Male,White,24,Driving Under The Influence - Second And Subsequent Offense,0,TRUE
12BU003566,2/10/2012 23:56,Female,White,32,Domestic Assault,1,TRUE
12BU003568,2/11/2012 0:45,NA,NA,NA,"Violation Of Conditions Of Release (Travel, Curfew, Or Contact)",0,TRUE
