incident_number,officers_involved,subject_id,race,age,gender,subject_mh,subject_alcohol,subject_drug,physical_emptyhand,oc_spray_display,oc_spray,taser_display,taser,firearm_pointed,firearm_fired,sub_refused_commands,sub_walk_ran,sub_threats,sub_escape,sub_assault_cues,sub_passive,sub_active,sub_assaultive,sub_used_weapon,arrest,most_serious_charge,officer_injured,subject_injured,subject_medical,useofforce
12BU028695,1,Subject 722,African American,25,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU001104,1,Subject 1381,White,28,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU001207,4,Subject 1026,White,42,Male,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Disorderly Conduct By Phone Or Electronic Communication 13 VSA 1027 90C,FALSE,FALSE,No,TRUE
12BU001447,1,Subject 263,White,7,Female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU001502,1,Subject 887,Other/Not Reported,37,Female,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU001665,1,Subject 1303,African American,45,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Simple Assault 13 VSA 1023 13B,FALSE,TRUE,No,TRUE
12BU001668,1,Subject 1279,White,29,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Unlawful Mischief (Misdemeanor) 13 VSA 3701(B) 290,FALSE,FALSE,No,TRUE
12BU001790,2,Subject 1273,White,25,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,TRUE,No,TRUE
12BU001896,3,Subject 404,African American,38,Male,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"Drugs - Marijuana, Possession Or Cultivation -Misdemeanor 18 VSA 4230(A)(1) 35A",TRUE,TRUE,No,TRUE
12BU0000,1,Subject 404,African American,38,Male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,No,TRUE
12BU001997,2,Subject 630,White,37,Male,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B,TRUE,TRUE,Transported to ER,TRUE
12BU002272,3,Subject 1049,White,51,Male,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,False Information To A Police Officer 13 VSA 1754 90Z,TRUE,TRUE,Transported to ER,TRUE
12BU0-2272,1,Subject 1049,White,51,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,Transported to ER,TRUE
12BU002367,2,Subject 100,White,58,Female,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BUBU2367C,1,Subject 100,White,58,Female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU002397,5,Subject 488,African American,42,Male,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Resisting Arrest 13 VSA 3017 90Z,TRUE,TRUE,No,TRUE
12BU002482,1,Subject 1052,White,50,Male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU002562,1,Subject 1052,White,50,Male,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,FALSE,FALSE,No,TRUE
12BU002600,1,Subject 98,White,61,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU002675,1,Subject 89,White,46,Male,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,Admitted to hospital,TRUE
12BU002848,2,Subject 107,African American,42,Male,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,Evaluated at scene,TRUE
12BU019385,2,Subject 107,African American,42,Male,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,Evaluated at scene,TRUE
12BU002857,2,Subject 569,White,64,Male,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,Transported to ER,TRUE
12BU003024,2,Subject 1368,White,49,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU003073,1,Subject 1248,White,31,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,TRUE,No,TRUE
12BU-3133C,1,Subject 1282,White,27,Male,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Transported to ER,TRUE
12BU03133S,1,Subject 1282,White,27,Male,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Transported to ER,TRUE
12BU003402,4,Subject 1052,White,50,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Domestic Assault - 2nd Degree Aggravated 13 VSA 1044 13A,FALSE,FALSE,No,TRUE
12BU003445,1,Subject 262,White,28,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Drugs - Depressant, Stimulant, And Narcotic Possession Misdemeanor 18 VSA 4234(A)(1) 35A",FALSE,FALSE,No,TRUE
12BU003459,1,Subject 432,White,25,Male,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU003608,1,Subject 768,White,63,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Evaluated at scene,TRUE
12BU003851,2,Subject 336,White,31,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Aggravated Assault 13 VSA 1024 13A,TRUE,TRUE,No,TRUE
12BU003891,1,Subject 786,White,24,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU003940,1,Subject 828,White,41,Male,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU004120,1,Subject 783,White,25,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,FALSE,No,TRUE
12BU004171,1,Subject 157,White,29,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B,TRUE,FALSE,No,TRUE
12BU004241,1,Subject 145,Hispanic/Latino,59,Male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU004244,1,Subject 1154,White,25,Male,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU004247,1,Subject 319,White,26,Male,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Simple Assault 13 VSA 1023 13B,FALSE,FALSE,Evaluated at scene,TRUE
12BU004286,1,Subject 589,Other/Not Reported,17,Female,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU004483,2,Subject 1336,White,36,Male,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Resisting Arrest 13 VSA 3017 90Z,TRUE,TRUE,No,TRUE
12BU004420,1,Subject 1319,African American,34,Male,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,Evaluated at scene,TRUE
12BU004965,3,Subject 39,White,38,Male,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,No,TRUE
12BU004985,2,Subject 1325,White,52,Male,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Admitted to hospital,TRUE
12BU124985,1,Subject 1325,White,52,Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Transported to ER,TRUE
12BU005182,1,Subject 1002,White,62,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Evaluated at scene,TRUE
12BU005192,1,Subject 57,White,57,Female,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,FALSE,No,TRUE
12BU005244,2,Subject 92,White,30,Female,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,Transported to ER,TRUE
12BU005303,2,Subject 1034,White,43,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Admitted to hospital,TRUE
12BU002726,1,Subject 399,White,48,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Drugs - Cocaine, Sale >2.5 Gm 18 VSA 4231(B)(2) 35A",FALSE,FALSE,No,TRUE
12BU005515,3,Subject 1159,White,25,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,No,TRUE
12BU005515,1,Subject 1278,White,58,Male,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Burglary 13 VSA 1201 220,FALSE,FALSE,No,TRUE
12BU005762,3,Subject 740,White,38,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,FALSE,Admitted to hospital,TRUE
12BU006001,1,Subject 751,White,25,Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Simple Assault 13 VSA 1023 13B,FALSE,FALSE,No,TRUE
12BU006065,2,Subject 855,White,37,Female,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU006167,1,Subject 789,White,29,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU006329,1,Subject 995,White,30,Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Disorderly Conduct - All Other 13 VSA 1026 90C,FALSE,FALSE,No,TRUE
12BU006416,1,Subject 755,White,30,Male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU006452,1,Subject 1320,White,33,Male,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU006497,3,Subject 1380,White,NA,Male,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,Transported to ER,TRUE
12BU006533,1,Subject 97,White,28,Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU006533,1,Subject 250,White,25,Male,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU006737,1,Subject 152,White,46,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Transported to ER,TRUE
12BU006737,1,Subject 89,White,46,Male,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,Transported to ER,TRUE
12BU006933,1,Subject 565,African American,34,Female,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU000693,1,Subject 565,African American,34,Female,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU006958,2,Subject 198,Hispanic/Latino,25,Male,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,Evaluated at scene,TRUE
12BU007053,1,Subject 24,White,31,Male,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU07053A,1,Subject 24,White,31,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU007103,1,Subject 846,White,26,Male,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU007529,2,Subject 110,White,25,Male,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B,TRUE,FALSE,Transported to ER,TRUE
12BU007549,1,Subject 207,White,23,Male,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,TRUE,Transported to ER,TRUE
12BU007729,1,Subject 453,White,63,Male,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
12BU007970,1,Subject 501,White,36,Male,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,False Information To A Police Officer 13 VSA 1754 90Z,FALSE,FALSE,No,TRUE
12BU008103,2,Subject 614,White,60,Male,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,No,TRUE
12BU008143,1,Subject 1133,White,29,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B,TRUE,TRUE,Transported to ER,TRUE
12BU008222,1,Subject 163,Hispanic/Latino,39,Male,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Assault On A Law Enforcement Officer/Firefighter/EMS/Health Care Worker (Misdemeanor) 13 VSA 1028(A)(1) 13B,FALSE,FALSE,No,TRUE
12BU008326,1,Subject 623,African American,25,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,No,TRUE
